ID,Name,ProductType,BrandID,OldPrice,CurrentPrice,DiscountPercent,GiftValue,ProductLink
139,iPhone 15 Plus,Laptop,15,25990000.0,22790000.0,12.31,,https://www.thegioididong.com/dtdd/iphone-15-plus
140,iPhone 15 Pro,Laptop,15,31990000.0,28490000.0,10.94,,https://www.thegioididong.com/dtdd/iphone-15-pro-256gb
141,iPhone 15 Pro Max,Laptop,15,34990000.0,29590000.0,15.43,,https://www.thegioididong.com/dtdd/iphone-15-pro-max
142,iPhone 16,Laptop,15,22990000.0,22290000.0,3.04,,https://www.thegioididong.com/dtdd/iphone-16
143,iPhone 16 Plus,Laptop,15,,25990000.0,,,https://www.thegioididong.com/dtdd/iphone-16-plus
144,iPhone 16 Pro,Laptop,15,,28990000.0,,,https://www.thegioididong.com/dtdd/iphone-16-pro
145,iPhone 16 Pro Max,Laptop,15,,34990000.0,,,https://www.thegioididong.com/dtdd/iphone-16-pro-max
146,realme 12,Laptop,16,,7990000.0,,200000.0,https://www.thegioididong.com/dtdd/realme-12
147,realme 13+ 5GMẫu mới,Laptop,16,9490000.0,9290000.0,2.11,,https://www.thegioididong.com/dtdd/realme-13-plus-5g-8gb-256gb
148,realme C53 8GB/256GB,Laptop,16,4790000.0,3850000.0,19.62,,https://www.thegioididong.com/dtdd/realme-c53-8gb
149,realme C60 4GB/64GB,Laptop,16,,2790000.0,,,https://www.thegioididong.com/dtdd/realme-c60
150,realme C61,Laptop,16,,3590000.0,,,https://www.thegioididong.com/dtdd/realme-c61-4gb-128gb
151,realme C65,Laptop,16,4790000.0,4090000.0,14.61,,https://www.thegioididong.com/dtdd/realme-c65
152,realme C65s,Laptop,16,,4290000.0,,200000.0,https://www.thegioididong.com/dtdd/realme-c65s
153,realme C67,Laptop,16,5290000.0,4390000.0,17.01,,https://www.thegioididong.com/dtdd/realme-c67
154,realme Note 50,Laptop,16,2490000.0,2390000.0,4.02,200000.0,https://www.thegioididong.com/dtdd/realme-note-50-64gb
155,realme Note 60,Laptop,16,,3090000.0,,100000.0,https://www.thegioididong.com/dtdd/realme-note-60-4gb-64gb
156,vivo V30 5G 12GB/512GB,Laptop,17,13990000.0,12990000.0,7.15,500000.0,https://www.thegioididong.com/dtdd/vivo-v30
157,vivo V30e 5G,Laptop,17,,10490000.0,,1000000.0,https://www.thegioididong.com/dtdd/vivo-v30e-12gb
158,vivo V40 Lite 8GB/256GBMẫu mới,Laptop,17,8490000.0,8190000.0,3.53,200000.0,https://www.thegioididong.com/dtdd/vivo-v40-lite-8gb-256gb?utm_flashsale=1
159,vivo Y03,Laptop,17,,3290000.0,,,https://www.thegioididong.com/dtdd/vivo-y03
160,vivo Y03T 4GB/128GB,Laptop,17,,3290000.0,,,https://www.thegioididong.com/dtdd/vivo-y03t-4gb-128gb
161,vivo Y100,Laptop,17,7690000.0,6490000.0,15.6,,https://www.thegioididong.com/dtdd/vivo-y100
162,vivo Y18,Laptop,17,,3990000.0,,200000.0,https://www.thegioididong.com/dtdd/vivo-y18-4gb-128gb
163,vivo Y19sMẫu mới,Laptop,17,4290000.0,4190000.0,2.33,,https://www.thegioididong.com/dtdd/vivo-y19s-6gb-128gb
164,vivo Y28,Laptop,17,,5790000.0,,100000.0,https://www.thegioididong.com/dtdd/vivo-y28
165,vivo Y36 8GB/256GB,Laptop,17,6190000.0,5890000.0,4.85,,https://www.thegioididong.com/dtdd/vivo-y36
